1757758354623153408,0.00008,-0.00146,0.00193,0.61673,-0.78716,-0.00232,-0.00293,0.00024,-0.00198,0.00881,
1757758354756618240,-0.00009,-0.00050,0.00104,0.61590,-0.78781,-0.00237,-0.00305,-0.00368,-0.00269,0.00322,
1757758354890084096,-0.00014,-0.00031,-0.00044,0.61611,-0.78765,-0.00235,-0.00298,-0.00475,-0.00112,-0.00163,
1757758355023550976,-0.00018,-0.00033,-0.00050,0.61612,-0.78764,-0.00230,-0.00294,-0.00309,-0.00157,-0.00041,
1757758355157019648,-0.00068,-0.00056,-0.00055,0.61614,-0.78762,-0.00230,-0.00299,-0.00407,-0.00207,-0.00020,
1757758355290488832,-0.00012,-0.00027,-0.00050,0.61614,-0.78763,-0.00227,-0.00291,-0.00230,-0.00058,-0.00030,
1757758355423960064,-0.00020,-0.00031,-0.00068,0.61618,-0.78759,-0.00224,-0.00295,-0.00237,-0.00087,-0.00033,
1757758355557432064,-0.00012,-0.00025,-0.00058,0.61616,-0.78761,-0.00223,-0.00290,-0.00048,-0.00032,0.00013,
1757758355690903808,0.00002,-0.00021,-0.00073,0.61621,-0.78757,-0.00227,-0.00286,0.00256,0.00037,-0.00213,
1757758355824340992,0.00032,-0.00016,-0.00100,0.61622,-0.78756,-0.00225,-0.00292,0.00251,0.00042,-0.00205,
1757758355957778176,0.00010,-0.00010,-0.00063,0.61617,-0.78760,-0.00231,-0.00290,0.00151,0.00145,-0.00172,
1757758356091216128,0.00005,-0.00011,-0.00067,0.61619,-0.78759,-0.00235,-0.00295,0.00078,0.00057,-0.00045,
1757758356224654080,0.00001,-0.00025,-0.00064,0.61620,-0.78758,-0.00231,-0.00297,0.00135,-0.00080,-0.00010,
1757758356358092800,0.00006,-0.00030,-0.00069,0.61619,-0.78759,-0.00235,-0.00295,0.00119,-0.00113,-0.00070,
1757758356491531520,0.00027,-0.00049,-0.00080,0.61620,-0.78758,-0.00239,-0.00291,0.00165,-0.00172,-0.00067,
1757758356624970496,0.00009,-0.00025,-0.00049,0.61615,-0.78762,-0.00237,-0.00298,0.00150,-0.00111,-0.00008,
1757758356758376704,0.00009,-0.00032,-0.00064,0.61618,-0.78760,-0.00237,-0.00300,0.00036,-0.00181,-0.00083,
1757758356891782400,0.00015,-0.00071,-0.00072,0.61620,-0.78758,-0.00236,-0.00305,0.00072,-0.00350,-0.00049,
1757758357025187072,-0.00001,-0.00032,-0.00062,0.61615,-0.78762,-0.00235,-0.00303,0.00026,-0.00106,0.00090,
1757758357158590976,0.00006,-0.00030,-0.00064,0.61617,-0.78760,-0.00237,-0.00298,0.00083,-0.00130,0.00069,
