1757828315403628288,0.00924,0.03180,0.00196,0.59696,-0.79212,0.08006,-0.09885,
1757828315537042944,0.01122,0.02875,0.00375,0.59726,-0.78897,0.09586,-0.10777,
1757828315803870720,0.00731,0.02633,0.00553,0.60280,-0.78702,0.09448,-0.09117,
1757828315937279488,0.00524,0.02715,0.00478,0.60443,-0.78815,0.08288,-0.08133,
1757828316204140288,0.00269,0.02483,0.00576,0.60523,-0.78913,0.07427,-0.07381,
1757828319673504768,0.00322,0.02435,0.00616,0.60449,-0.78839,0.08232,-0.07915,
1757828373312438016,0.00540,0.02502,0.00630,0.60413,-0.78703,0.08993,-0.08672,
1757828373445840640,0.01506,0.02141,0.00750,0.59647,-0.77620,0.15393,-0.13433,
1757828373579242240,0.02280,0.01857,0.00838,0.58555,-0.76321,0.20847,-0.17660,
1757828373712643072,0.02794,0.01409,0.00853,0.57652,-0.74927,0.24988,-0.20925,
1757828373846042880,0.03221,0.01035,0.00865,0.56826,-0.73762,0.28099,-0.23246,
1757828373979441920,0.03377,0.00783,0.00902,0.56165,-0.72845,0.30315,-0.24901,
1757828374112841728,0.03508,0.00476,0.00930,0.55534,-0.71718,0.32600,-0.26640,
1757828374246249472,0.03718,0.00186,0.00952,0.54722,-0.70614,0.34846,-0.28372,
1757828374379656704,0.03833,0.00021,0.00976,0.54174,-0.70037,0.36053,-0.29329,
1757828374513063168,0.03995,-0.00137,0.01029,0.53814,-0.69666,0.36825,-0.29911,
1757828375046681600,0.04567,-0.00018,0.01078,0.54185,-0.70407,0.35553,-0.29031,
1757828375180088064,0.05153,-0.00127,0.01246,0.54515,-0.70848,0.34669,-0.28402,
1757828375580302592,0.08850,0.02860,0.01131,0.54543,-0.70917,0.34661,-0.28186,
1757828375847108096,0.13803,0.04829,0.01156,0.54370,-0.70637,0.35212,-0.28537,
1757828375980509440,0.16979,0.04594,0.01183,0.53817,-0.69831,0.36721,-0.29646,
1757828376113914112,0.20141,0.03938,0.01253,0.53260,-0.69148,0.38012,-0.30609,
1757828376247343104,0.23102,0.02838,0.01327,0.52863,-0.68651,0.38920,-0.31269,
1757828376380771840,0.25680,0.01507,0.01370,0.52435,-0.68272,0.39743,-0.31781,
1757828376781056768,0.31565,-0.02247,0.01487,0.52939,-0.69116,0.38464,-0.30675,
1757828377047898112,0.34193,-0.04530,0.01602,0.52642,-0.68746,0.39124,-0.31178,
1757828377181362432,0.35292,-0.05670,0.01689,0.51785,-0.67565,0.41079,-0.32645,
1757828377314828544,0.36017,-0.06691,0.01838,0.51037,-0.66578,0.42687,-0.33769,
1757828377448296192,0.35984,-0.07816,0.01956,0.51728,-0.67789,0.41022,-0.32343,
1757828377581766400,0.35276,-0.09493,0.02221,0.52034,-0.68584,0.39843,-0.31643,
1757828377848711168,0.34260,-0.12402,0.03638,0.51832,-0.69938,0.38771,-0.30316,
1757828377982186240,0.33758,-0.13334,0.05338,0.52804,-0.70017,0.38011,-0.29402,
1757828378115663104,0.32906,-0.13911,0.08035,0.54204,-0.70036,0.36855,-0.28262,
1757828378249225984,0.32256,-0.14399,0.10869,0.55041,-0.70025,0.36117,-0.27614,
1757828378516361728,0.31637,-0.14882,0.15139,0.54559,-0.70709,0.35832,-0.27196,
1757828378783510528,0.31077,-0.15474,0.19741,0.54364,-0.71507,0.35053,-0.26507,
1757828378917089536,0.30642,-0.15973,0.22028,0.54793,-0.71688,0.34363,-0.26032,
1757828379050759680,0.30289,-0.16537,0.24068,0.55377,-0.71888,0.33573,-0.25267,
1757828379184151040,0.30145,-0.16867,0.25838,0.55797,-0.72093,0.33036,-0.24453,
1757828379450928640,0.29978,-0.17238,0.29719,0.56261,-0.72064,0.32273,-0.24494,
1757828379584315904,0.29849,-0.17531,0.31407,0.56898,-0.71991,0.31570,-0.24149,
1757828379717701376,0.29924,-0.17908,0.33169,0.57414,-0.71788,0.31459,-0.23673,
1757828379984468736,0.30093,-0.18168,0.36249,0.57812,-0.71468,0.31267,-0.23925,
1757828380318153216,0.30399,-0.18588,0.39942,0.58438,-0.71147,0.30840,-0.23918,
1757828380587840256,0.30661,-0.18016,0.42290,0.58740,-0.71330,0.29956,-0.23754,
